longitude,latitude,start_date,end_date,label,id,index
-55.0493514525367,-11.8866203923059,2014-09-30,2015-06-26,Pasture,223,14
-55.0493514525367,-11.8866203923059,2015-09-30,2016-07-11,Pasture,224,14
-55.0489301663021,-11.8845370589728,2000-09-29,2001-08-13,Forest,225,15
-55.0489301663021,-11.8845370589728,2001-11-17,2002-07-12,Forest,226,15
-55.0489301663021,-11.8845370589728,2002-08-29,2003-06-10,Forest,227,15
-55.0489301663021,-11.8845370589728,2003-10-16,2004-06-25,Pasture,228,15
-55.0489301663021,-11.8845370589728,2004-09-13,2005-07-12,Pasture,229,15
-55.0489301663021,-11.8845370589728,2005-08-29,2006-08-29,Pasture,230,15
-55.0489301663021,-11.8845370589728,2006-10-16,2007-08-29,Pasture,231,15
-55.0489301663021,-11.8845370589728,2007-11-17,2008-08-12,Pasture,232,15
-55.0489301663021,-11.8845370589728,2008-07-27,2009-07-28,Pasture,233,15
-55.0489301663021,-11.8845370589728,2009-07-12,2010-08-13,Pasture,234,15
-55.0489301663021,-11.8845370589728,2010-09-30,2011-07-12,Pasture,235,15
-55.0489301663021,-11.8845370589728,2011-08-29,2012-09-13,Double_cropping,236,15
-55.0489301663021,-11.8845370589728,2012-08-28,2013-07-12,Double_cropping,237,15
-55.0489301663021,-11.8845370589728,2013-08-13,2014-08-29,Double_cropping,238,15
-55.0489301663021,-11.8845370589728,2014-11-01,2015-05-25,Forest,239,15
-55.0489301663021,-11.8845370589728,2015-09-30,2016-08-28,Pasture,240,15
-55.0485089592961,-11.8824537256396,2000-09-29,2001-08-13,Forest,241,16
-55.0485089592961,-11.8824537256396,2001-07-28,2002-07-28,Forest,242,16
-55.0485089592961,-11.8824537256396,2002-08-29,2003-06-10,Forest,243,16
-55.0485089592961,-11.8824537256396,2003-08-29,2004-06-25,Pasture,244,16
-55.0485089592961,-11.8824537256396,2004-08-28,2005-07-12,Pasture,245,16
-55.0485089592961,-11.8824537256396,2005-08-29,2006-08-13,Pasture,246,16
-55.0485089592961,-11.8824537256396,2006-09-30,2007-09-14,Pasture,247,16
-55.0485089592961,-11.8824537256396,2007-11-17,2008-06-09,Forest,248,16
-55.0485089592961,-11.8824537256396,2008-10-15,2009-08-29,Pasture,249,16
-55.0485089592961,-11.8824537256396,2009-08-29,2010-06-26,Forest,250,16
-55.0485089592961,-11.8824537256396,2010-07-28,2011-08-29,Pasture,251,16
-55.0485089592961,-11.8824537256396,2011-11-17,2012-06-09,Forest,252,16
-55.0485089592961,-11.8824537256396,2012-10-31,2013-06-26,Forest,253,16
-55.0485089592961,-11.8824537256396,2013-08-29,2014-07-12,Pasture,254,16
-55.0485089592961,-11.8824537256396,2014-09-30,2015-08-29,Pasture,255,16
-55.0485089592961,-11.8824537256396,2015-08-13,2016-08-28,Pasture,256,16
-55.0480878315155,-11.8803703923065,2000-09-29,2001-08-13,Forest,257,17
-55.0480878315155,-11.8803703923065,2001-11-01,2002-07-12,Forest,258,17
-55.0480878315155,-11.8803703923065,2002-08-29,2003-06-26,Forest,259,17
-55.0480878315155,-11.8803703923065,2003-09-30,2004-07-11,Single_cropping,260,17
-55.0480878315155,-11.8803703923065,2004-09-13,2005-06-26,Single_cropping,261,17
-55.0480878315155,-11.8803703923065,2005-09-14,2006-08-13,Pasture,262,17
-55.0480878315155,-11.8803703923065,2006-08-29,2007-07-12,Pasture,263,17
-55.0480878315155,-11.8803703923065,2007-08-29,2008-07-27,Double_cropping,264,17
-55.0480878315155,-11.8803703923065,2008-08-28,2009-08-13,Double_cropping,265,17
